,R[t],IAT[t],IAT[t-1],IATC[t],IATC[t-1],BD[t],BD[t-1],BDC[t],BDC[t-1]
2015-03-10,0.04614,1.824856254,1.728711854,1,1,1.123566623,0.945681969,1,1
2015-03-11,0.1,1.740662005,1.824856254,0,1,1.531308254,1.123566623,1,1
2015-03-12,-0.011513,1.748736183,1.740662005,1,0,1.419862447,1.531308254,0,1
2015-03-13,0.002811,1.496696626,1.748736183,0,1,1.125709812,1.419862447,0,0
2015-03-16,0.034842,1.966490407,1.496696626,1,0,1.160000829,1.125709812,1,0
2015-03-17,-0.029799,1.941908816,1.966490407,0,1,1.169645178,1.160000829,1,1
2015-03-18,0.036697,2.12792793,1.941908816,1,0,1.277340405,1.169645178,1,1
2015-03-19,-0.020008,2.64953639,2.12792793,1,1,1.206079384,1.277340405,0,1
2015-03-20,-0.00746,1.870428866,2.64953639,0,1,1.067843719,1.206079384,0,0
2015-03-23,0.066456,2.493503133,1.870428866,1,0,1.184111701,1.067843719,1,0
2015-03-24,-0.007418,2.716560351,2.493503133,1,1,1.120887637,1.184111701,0,1
2015-03-25,0.100149,2.485861665,2.716560351,0,1,1.355030992,1.120887637,1,0
2015-03-26,0.00034,2.078341246,2.485861665,0,0,1.305737654,1.355030992,0,1
2015-03-27,0.10017,2.113823437,2.078341246,1,0,1.352887803,1.305737654,1,0
2015-04-15,0.1,2.561272829,2.113823437,1,1,2.894376203,1.352887803,1,1
2015-04-16,0.099888,2.565351347,2.561272829,1,1,2.23320252,2.894376203,0,1
2015-04-17,-0.017857,2.807503029,2.565351347,1,1,2.111576567,2.23320252,0,0
2015-04-20,-0.1,2.338970551,2.807503029,0,1,1.725802619,2.111576567,1,0
2015-04-21,0.040693,2.25893768,2.338970551,0,0,1.644361453,1.725802619,0,1
2015-04-22,0.020799,3.213145304,2.25893768,1,0,1.524878688,1.644361453,0,0
2015-04-23,-0.01141,3.186823669,3.213145304,0,1,1.634717104,1.524878688,1,0
2015-04-24,-0.014015,2.270915451,3.186823669,0,0,1.355030992,1.634717104,0,1
2015-04-27,0.028986,2.622349335,2.270915451,1,0,1.553811734,1.355030992,1,0
2015-04-28,-0.046587,2.287938433,2.622349335,0,1,1.383964038,1.553811734,0,1
